"<DATE>","<OPEN>","<HIGH>","<LOW>","<CLOSE>","<VOL>"
"11/26/2020","0.03685","0.03744","0.0366","0.037","71416540000"
"11/27/2020","0.0371","0.0382","0.036785","0.037765","110544580000"
"11/30/2020","0.037705","0.03785","0.037005","0.03721","44417880000"
"12/1/2020","0.037385","0.037825","0.03727","0.0377","29852440000"
"12/2/2020","0.03755","0.03805","0.03747","0.03797","33236820000"
"12/3/2020","0.037995","0.03843","0.03734","0.037755","46388570000"
"12/4/2020","0.037835","0.0381","0.0377","0.037835","39926930000"
"12/7/2020","0.037795","0.037985","0.037445","0.03749","25896520000"
"12/8/2020","0.03748","0.0378","0.03705","0.03748","26196850000"
"12/9/2020","0.037505","0.03794","0.03725","0.03732","31227560000"
"12/10/2020","0.03742","0.03814","0.03723","0.03803","47833580000"
"12/11/2020","0.038075","0.03823","0.0377","0.037945","35719410000"
"12/14/2020","0.03815","0.038695","0.0375","0.03783","63760160000"
"12/15/2020","0.03771","0.03804","0.03761","0.037765","39265700000"
"12/16/2020","0.03782","0.0385","0.0377","0.038315","64465980000"
"12/17/2020","0.03835","0.03894","0.038005","0.03835","48285610000"
"12/18/2020","0.038195","0.038365","0.037825","0.03815","29649110000"
